district_code	subdistrict_code	village_code	village_name	num_households
209	1120	222146	Rani Istamrar	310
209	1120	222147	Mahadewa	215
209	1120	222149	Bankora	264
209	1120	222150	Pathrabari	549
209	1120	222151	Malchhari	376
209	1120	222153	Naua Nankar	685
209	1120	222155	Kajleta	466
209	1120	222156	Bara Istamrar	1610
209	1120	222157	Siswa	402
209	1120	222158	Marua	444
209	1120	222159	Mehadinagar	225
209	1120	222160	Dabhra	841
209	1120	222161	Baharbari	870
209	1120	222162	Laruabari	537
209	1120	222163	Pirganj	124
209	1120	222164	Girda	783
209	1120	222165	Lalia	380
209	1120	222166	Ramganj	723
209	1120	222167	Darsana	768
209	1120	222168	Rahikpur	369
209	1120	222169	Chakai	2396
209	1120	222170	Kursail	1473
209	1120	222171	Bardenga	1001
209	1120	222172	Karahara	240
209	1120	222173	Mahalgaon	1898
209	1120	222174	Ukhwa	646
209	1120	222176	Uda	982
209	1120	222177	Chirah	619
209	1120	222178	Phulpur Purwari	758
209	1120	222179	Dumaria	810
209	1120	222181	Chainpur	790
209	1120	222183	Bagnagar	1005
209	1120	222184	Malharia	881
209	1120	222185	Parshadpur	927
209	1120	222186	Chikania	337
209	1120	222187	Phulpur Pachhiari	219
209	1120	222188	Padampur	150
209	1120	222189	Bhansia	2215
209	1120	222190	Ghormara	340
209	1120	222191	Mahjaili	452
209	1120	222193	Bhag Turkaili	148
209	1120	222194	Kakorha	628
209	1120	222195	Matiari	202
209	1120	222196	Saifullah Tola	236
209	1120	222198	Domahana	375
209	1120	222199	Sapa	483
209	1120	222200	Majgawan	589
209	1120	222201	Chilhania	959
209	1120	222202	Masuria	1143
209	1120	222203	Parha	261
209	1120	222204	Durgapur	292
209	1120	222205	Kachnahar	179
209	1120	222207	Machhaila	846
209	1120	222208	Bhuna Majgawan	1238
209	1120	222209	Bhuna	518
209	1120	222210	Chaukta	1148
209	1120	222211	Pipra Pachhiari	716
209	1120	222212	Pechaili	433
